Time [s],Channel 1
5.292399917,0
5.292510125,1
5.292619917,0
5.292730167,1
5.292839958,0
5.292950167,1
5.293059958,0
5.293170208,1
5.293280000,0
5.293390208,1
5.293500000,0
5.293610250,1
5.293720000,0
5.293830250,1
5.293940042,0
5.294050250,1
5.294160042,0
5.294270250,1
5.294380042,0
5.294490292,1
5.294600083,0
5.294710292,1
5.294820083,0
5.294930292,1
5.295040083,0
5.295150333,1
5.295260125,0
5.295370333,1
5.295480125,0
5.295590375,1
5.295700167,0
5.295810375,1
5.295920167,0
5.296030375,1
5.296140167,0
5.296250375,1
5.296360167,0
5.296470417,1
5.296580208,0
5.296690417,1
5.296800208,0
5.296910458,1
5.297020250,0
5.297130458,1
5.297240250,0
5.297350500,1
5.297460292,0
5.297570500,1
5.297680292,0
5.297790542,1
5.297900333,0
5.298010542,1
5.298120333,0
5.298230583,1
5.298340375,0
5.298450625,1
5.298560417,0
5.298670625,1
5.298780458,0
5.298890667,1
5.299000458,0
5.299110708,1
5.299220500,0
5.299330708,1
5.299440542,0
5.299550750,1
5.299660542,0
5.299770792,1
5.299880583,0
5.299990833,1
5.300100625,0
5.300210875,1
5.300320667,0
5.300430917,1
5.300540708,0
5.300650917,1
5.300760708,0
5.300870958,1
5.300980750,0
5.301090958,1
5.301200750,0
5.301311000,1
5.301422875,0
5.301535167,1
5.301647000,0
5.301759333,1
5.301871208,0
5.301983500,1
5.302095375,0
5.302207667,1
5.302319542,0
5.302431833,1
5.302543708,0
5.302656042,1
5.302767917,0
5.302880208,1
5.302992083,0
5.303104417,1
5.303216292,0
5.303328583,1
5.303440458,0
5.303552792,1
5.303664625,0
5.303776958,1
5.303888833,0
5.304001125,1
5.304113000,0
5.304225333,1
5.304337167,0
5.304449500,1
5.304561333,0
5.304673667,1
5.304785500,0
5.304897792,1
5.305009667,0
5.305121958,1
5.305233833,0
5.305346125,1
5.305458000,0
5.305570292,1
5.305682167,0
5.305794458,1
5.305906333,0
5.306018625,1
5.306130500,0
5.306242833,1
5.306354708,0
5.306467000,1
5.306578875,0
5.306691167,1
5.306803042,0
5.306915333,1
5.307027208,0
5.307139500,1
5.307251375,0
5.307363708,1
5.307475542,0
5.307587875,1
5.307699708,0
5.307812000,1
5.307923875,0
5.308036167,1
5.308148042,0
5.308260333,1
5.308372208,0
5.308484542,1
5.308596375,0
5.308708708,1
5.308820542,0
5.308932833,1
5.309044708,0
5.309157000,1
5.309268875,0
5.309381167,1
5.309493042,0
